epoch,train_loss,train_dice,train_iou,train_f1,val_loss,val_dice,val_iou,val_f1,val_precision,val_recall,learning_rate,time_sec
1,0.6862482558458279,0.39274616371819904,0.2758797214873711,0.3927461606072098,0.6021777321310604,0.5061020741652787,0.36550539803777404,0.5061020701973616,0.4175185363499049,0.8150375853928576,0.0009938441702975688,65.00450158119202
2,0.5644354957800645,0.4767929132725647,0.35267808007577384,0.47679290958115644,0.5103009465862723,0.5141517363481775,0.37444340358475087,0.5141517322931844,0.4318914507343687,0.7960066020242781,0.0009755282581475768,25.472286462783813
3,0.49796169499556225,0.5078538219470387,0.37963024045665245,0.5078538180523824,0.45987072937628803,0.527524323059317,0.38382608352125563,0.5275243186894941,0.4849660490780688,0.7056748817131577,0.0009455032620941839,25.993131399154663
4,0.4711708579307947,0.49572427547233716,0.36076716718570845,0.495724271483689,0.4151250404470107,0.5537184481517563,0.4093992238993032,0.5537184436621062,0.5425940437043502,0.6730528307372359,0.0009045084971874737,25.61857008934021
5,0.45101635196270085,0.5136650900979978,0.3813769125441028,0.5136650861293252,0.38999472470844493,0.5699198740165552,0.4270340811187547,0.5699198695535261,0.5553719003530615,0.6912021773694214,0.0008535533905932737,25.673635721206665
6,0.4335573422603118,0.5320247582242896,0.39651930915096456,0.5320247540635538,0.38088347631342273,0.5639532338413079,0.42438588945689704,0.5639532296975556,0.4864592947618289,0.8155709867337704,0.0007938926261462366,25.54787254333496
7,0.4231470479415013,0.574311798879981,0.4307989653398958,0.5743117944403952,0.4111969225546893,0.4842621777486337,0.34248502019635707,0.4842621739215237,0.8440929050500587,0.3663107046496264,0.0007269952498697733,25.965216398239136
8,0.42814212216016573,0.5277687072778802,0.39244621567638216,0.5277687030573989,0.3467336945673999,0.6019621261722593,0.458801631086914,0.6019621215982215,0.6000403738586786,0.6896028465093721,0.0006545084971874737,25.857516288757324
9,0.411330626752132,0.5596092310792727,0.4210443767112989,0.5596092268373299,0.35240787793608275,0.589101672137259,0.44311458126426656,0.589101667494318,0.64370406060713,0.6085007721339921,0.0005782172325201155,25.881442070007324
10,0.40405963303951115,0.5538263007101738,0.41307513819133107,0.5538262964655146,0.35319769382476807,0.5685791793836578,0.4242967414840879,0.5685791748134328,0.6839434007311913,0.5379481164667784,0.0005,25.96110725402832
11,0.39371074124788624,0.6028030465079955,0.4648810103634577,0.6028030420523464,0.3452115041368148,0.5930167475293364,0.4501728061859942,0.5930167428341248,0.6163364668011767,0.6348620605693637,0.0004217827674798847,25.739227533340454
12,0.39813482818695217,0.5798580535557702,0.4426666880135153,0.5798580491916988,0.3358521803336985,0.6082902599231947,0.4702055656184608,0.608290255273876,0.6254041036967265,0.6647698589603166,0.00034549150281252633,25.767595767974854
13,0.3893402532125131,0.5955447756647037,0.4634705873642645,0.5955447712641392,0.3286530243999818,0.6285526065915968,0.4902581084619545,0.6285526020349018,0.7561581237899712,0.5885142135362229,0.00027300475013022663,26.128809452056885
14,0.3833353989399396,0.6057582041402538,0.46561745446044683,0.605758199692234,0.33625301192788515,0.613697117119627,0.46770947436146315,0.613697112578795,0.762699402910281,0.5603696409556836,0.00020610737385376348,25.79433584213257
15,0.3879463328764989,0.608194464243801,0.47100722050483274,0.6081944597942185,0.33438727084328146,0.6193188353577217,0.48515601315247614,0.6193188308661675,0.7503564043572121,0.5823775344866355,0.00014644660940672625,26.103127241134644
16,0.39443770948892987,0.5991192902634438,0.46540579396475124,0.5991192858391953,0.3360050434575361,0.6178109348280278,0.4813921579967604,0.6178109302811138,0.7336258083400204,0.5835099883622883,9.549150281252631e-05,26.185497760772705
17,0.3734415977811202,0.6217435321191729,0.48759786990010556,0.6217435276649466,0.3317115832777584,0.6207030042490013,0.4823472219006266,0.6207029996999357,0.7424142168638665,0.5837963346984275,5.4496737905816096e-05,25.860544443130493
18,0.36776523425793034,0.6466740298654461,0.518973135539559,0.646674025357602,0.33675480151877685,0.6179097675722884,0.4817640780904534,0.6179097629504343,0.6952770646489745,0.6131397240189452,2.447174185242323e-05,25.75445532798767
19,0.365459093107627,0.6420315203028892,0.5050850687473067,0.6420315157077,0.33600785802392397,0.6117566903165694,0.4751325196480142,0.6117566858113713,0.7388218192984842,0.575874048038144,6.15582970243117e-06,25.63796615600586
20,0.362623777336035,0.6510148273987124,0.5152245578315162,0.6510148227896163,0.3339989737552755,0.6190967296247438,0.4823560050342406,0.6190967250448026,0.7120235032370232,0.6047203590231109,0.0,25.68043851852417
