epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,train_iou,val_iou,train_dice,val_dice,learning_rate,epoch_time_sec
1,0.8353506999138074,0.7672481536865234,0.8264004144913039,0.9171846988154303,0.29175283323807716,0.4213521618674762,0.5417700559751183,0.6893763914729785,0.31669318498155635,0.47319919637594454,0.21267604912303165,0.3325752769522101,0.3166931883484787,0.47319920053578823,0.0002926829491861254,92.92907643318176
2,0.7543677794627655,0.7348299306981704,0.8937239646911539,0.9021902084350498,0.4416367514292938,0.3849311045402817,0.7330833439813248,0.8268337652431352,0.5020335282194741,0.480472864170737,0.3592373009653945,0.33657337586512565,0.5020335323752462,0.4804728680219852,0.0002714480406590546,55.49354386329651
3,0.7209900797177584,0.7041412732180428,0.906368842491728,0.9239645378262301,0.47329960918384034,0.47405924946556,0.7723590781720668,0.7472511082118418,0.5409790156511741,0.5384540963847589,0.4004774829071447,0.3908427849956871,0.5409790198193207,0.5384541007102482,0.0002383738952177247,55.52037978172302
4,0.7031391190412717,0.6895985147532295,0.9149612157772662,0.9290993447397179,0.4961303233177748,0.4977998185572396,0.7569119591333244,0.7346257620739018,0.5556408905040331,0.5566237054910228,0.4204354561502794,0.4048729843030122,0.5556408947657862,0.5566237099529258,0.0001966980406590546,55.620408058166504
5,0.6819198647370706,0.6692842139917261,0.9214720236949346,0.917578977697027,0.5063528085861934,0.44735825014128666,0.7675598390488534,0.828770870294911,0.5692388224099542,0.5382097819211392,0.434601885341353,0.39000594084625445,0.5692388267179614,0.5382097860462646,0.00015049999999999997,55.31383037567139
6,0.6687287562168561,0.6686773755971123,0.9254492123921627,0.9454185448440758,0.5365652176659617,0.557846848083007,0.7894480471367589,0.6927886497093446,0.5981167570000842,0.5842342046111649,0.4626297320715733,0.4364802226546047,0.5981167613621867,0.5842342092343761,0.00010430195934094535,55.65142297744751
7,0.6571410256318557,0.6504060678622302,0.9323744773864658,0.9444831025366597,0.5501898013928785,0.5415036873741317,0.7785440614706192,0.7530347193838824,0.6141189929988105,0.5962573149720061,0.47629558449660336,0.44742170579953905,0.6141189974868577,0.596257319526709,6.262610478227527e-05,55.71259069442749
8,0.6451509919686195,0.6411583984599394,0.9373470330849583,0.9450345693849959,0.5447491537378896,0.5375558731559981,0.7851013693454022,0.7925185398666814,0.6082008810651366,0.6078204091632567,0.47133474544401427,0.46054953358524964,0.608200885508458,0.6078204136746049,2.955195934094537e-05,55.502333641052246
9,0.6363087242994553,0.6411683576948503,0.9427204498877801,0.9544040081547663,0.5769084847792677,0.5889480796998535,0.8023858398323971,0.7563884803040185,0.6467502927425113,0.6315408138563172,0.5066685139506911,0.4865544989544059,0.6467502973595984,0.6315408184862398,8.317050813874547e-06,55.52743649482727
10,0.6317774821550418,0.6365741543910083,0.944570957086016,0.9508342555924867,0.5796675849953421,0.5596141947227191,0.7960137649748392,0.7898439752355654,0.6396878501561543,0.6216309970900041,0.5027582105443079,0.4756440894525911,0.6396878546956407,0.6216310016298374,0.0003,55.277108907699585
11,0.6487813591957092,0.6305118378470925,0.9362929295270783,0.9586913912903936,0.5610923958951913,0.6438773997735527,0.7412830197120771,0.6911394745980113,0.59753634289559,0.6368617072968492,0.46110149059670263,0.4903535860983462,0.5975363473211763,0.6368617119998442,0.00029815940691897306,55.388487339019775
12,0.6328415656701113,0.6160977412672604,0.9341318057133514,0.9486428429098598,0.5512679885582862,0.5556599613757617,0.7790571198408046,0.7935057783520378,0.6011054559073958,0.6083637518345326,0.4650013570703913,0.46073291081751083,0.6011054602848251,0.6083637562450611,0.0002926829491861254,55.14287257194519
13,0.6148896156213223,0.598288390566321,0.9377558659284455,0.9472589679792723,0.580742062304259,0.5332469625700436,0.7707483099965037,0.789528080421829,0.6212937701325615,0.6013189841775718,0.4862909619401278,0.4570852346476,0.621293774602285,0.6013189886460951,0.00028370547536616097,55.06541705131531
14,0.5985585221877465,0.5872233772979063,0.9439584047366321,0.9559964385687043,0.5894462021234198,0.6061414383810784,0.7572984175677286,0.7095164325366003,0.6250786579003488,0.621613422863652,0.48683639033235965,0.47841247327301417,0.6250786624356877,0.6216134275102058,0.0002714480406590546,55.297505140304565
15,0.5847977279470518,0.600606827174916,0.947863676609128,0.958216311884852,0.623507445004233,0.6520703627198452,0.7662452421495208,0.6287743764673216,0.657558109546974,0.6182348275309981,0.523157308494096,0.47717067923709233,0.6575581141968672,0.6182348322991957,0.00025621246378738883,55.41451334953308
16,0.5731801990515146,0.5552613998160643,0.9485283876076631,0.9510787515079182,0.6184186237997849,0.5490573956683736,0.7600520581422584,0.8021625047885533,0.6490185026076178,0.6203245839023591,0.5187252733220559,0.4735849082406305,0.6490185072024125,0.6203245884296402,0.0002383738952177247,55.20942187309265
17,0.5618655303349862,0.5318701354896321,0.9505472794557138,0.955335074780025,0.6416893475150766,0.5923933976563347,0.7747647270830941,0.7977381666130982,0.669965174343995,0.6488247467367717,0.5375963447459285,0.5001929780222535,0.6699651789698827,0.6488247513431045,0.0002183715797110622,55.03511643409729
18,0.541603796948225,0.5397804817732643,0.9549434123895016,0.9587618322933329,0.6274281689848126,0.6378608214982392,0.7672545044570124,0.7134002964779907,0.6658600246880447,0.6492804832555992,0.5326093562159576,0.5088251227944071,0.665860029394881,0.6492804880127416,0.0001966980406590546,55.67128777503967
19,0.5224415505161653,0.5320027978981242,0.9571687380472726,0.9394451590145244,0.6778392671998541,0.5143040544138491,0.7900236145637208,0.859643481727958,0.709733082212225,0.6057829672518127,0.5787820764916417,0.45711584005663947,0.709733086994368,0.6057829715634208,0.00017388695252351449,55.19927000999451
20,0.5257898647433672,0.49809251638019786,0.9549491099822123,0.9628821728276179,0.6617514807270964,0.6634628266359729,0.78184703896516,0.7664043181117133,0.6818897686031408,0.6791024928201107,0.5539233473690852,0.5347626827667766,0.6818897732109995,0.6791024975161423,0.00015049999999999997,55.524548292160034
21,0.5081689529694043,0.4910968542098999,0.960650957547692,0.9592187170888771,0.6896137534220013,0.62380082527285,0.7919350512246451,0.8138277196034021,0.7131980493392026,0.6739127777076698,0.5849749316073166,0.5270700275676228,0.7131980540905656,0.6739127823447807,0.00012711304747648549,55.015544414520264
22,0.4933972117992548,0.5011498647577622,0.9614772429832953,0.9625361947452229,0.7062513693951618,0.675873550281234,0.8019960965577542,0.7589203506838981,0.733527639083202,0.685589136838117,0.60393451399119,0.5416941277578935,0.7335276439147513,0.6855891415682377,0.00010430195934094535,55.35569882392883
23,0.48475665904772586,0.47787727327907786,0.9611393488370362,0.9636644101610278,0.695656866844116,0.671759516634318,0.8013640819127716,0.7844361959130763,0.7241317003490032,0.6988235925069483,0.5948261184731803,0.5538618064362995,0.7241317051497713,0.6988235972736068,8.262842028893775e-05,55.132710695266724
24,0.4715574069473988,0.4888564944267273,0.9647143437312107,0.9645320667939936,0.7117596517125777,0.7150834076159938,0.8052453873324088,0.7202946015953557,0.7367145975191859,0.6908005707030417,0.6081340454852626,0.5503865488137003,0.7367146023422979,0.6908005754730725,6.262610478227527e-05,55.25628709793091
25,0.4617934546027428,0.4828402364955229,0.9658646705822974,0.966242247936763,0.7071801125595335,0.7329157783134435,0.803979575958149,0.7081409703381789,0.7399934807023476,0.6936182417596227,0.6150179199151323,0.5533339751088829,0.7399934855687907,0.693618246525512,4.478753621261114e-05,54.951088190078735
